,Order,Family,Genus,Species,Binomial Name,AdultBodyMass (g),AdultForearmLen (mm),AdultHeadBodyLen (mm),AgeatEyeOpening (days),AgeatFirstBirth (days),BasalMetRate (mLO2hr),BasalMetRateMass (g),DispersalAge (days),GestationLen (days),InterbirthInterval (d),LitterSize (number),LittersPerYear (number),MaxLongevity (months),NeonateBodyMass (g),NeonateHeadBodyLen (mm),SexualMaturityAge (days),TeatNumber (number),WeaningAge (days),WeaningBodyMass (g),WeaningHeadBodyLen (mm),References,YoungPerYear_Litters (number),YoungPerYear_Interval (number),YoungPerYear_Estimated (number)
0,Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,492714.47,,,,1651.62,40293.0,407000.0,,386.51,614.41,0.98,1.0,480.0,36751.19,,1947.94,,389.38,,,511;543;719;1274;1297;1594;1654;1822;1848;2655;3044,0.98,1.6496487671232876,1.2714777983829768
1,Carnivora,Canidae,Canis,adustus,Canis adustus,10392.49,,745.32,,,,,329.99,65.0,,4.5,,137.0,,,249.88,8.0,52.89,,,542;543;730;1113;1297;1573;2655,,,
2,Carnivora,Canidae,Canis,aureus,Canis aureus,9658.7,,827.53,7.5,,,,,61.24,365.0,3.74,,192.0,211.82,,371.23,8.0,61.3,,,543;679;730;1113;1297;1573;2655,,3.74,3.74
3,Carnivora,Canidae,Canis,latrans,Canis latrans,11989.1,,872.39,11.94,365.0,3699.0,10450.0,255.0,61.74,365.0,5.72,,262.0,200.01,,372.9,8.0,43.71,,,367;542;543;730;1113;1297;1573;1822;2655,,5.72,5.719999999999999
4,Carnivora,Canidae,Canis,lupus,Canis lupus,31756.51,,1055.0,14.01,547.5,11254.2,33100.0,180.0,63.5,365.0,4.98,2.0,354.0,412.31,,679.37,9.0,44.82,,,367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655,2.49,4.98,3.5213917703090067
5,Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,800143.05,,2700.0,,,,,,273.75,403.02,1.22,1.0,314.4,22977.05,,610.97,,186.67,,,511;543;730;899;1297;1525;1848;2655;2986,1.22,1.3470805479452053,1.2819665629388117
6,Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,500000.0,,,,,,,,273.75,,1.0,1.0,267.0,,,755.15,,243.33,,,511;899;1297;1525;1848;2655,1.0,,1.0
7,Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,635974.34,,2075.0,,912.5,,,,296.78,,1.22,1.0,318.96,,,797.31,,287.74,,,511;730;899;1297;1525;1848;2152;2655,1.22,,1.22
8,Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,1117.02,,354.99,,,,,,129.25,395.41,1.01,,,73.6,,,,201.85,,,1544;1547;1605;1633;1848;2151;2251;2344;2655;2986,,1.0941482191780822,1.0941482191780822
9,Primates,Pitheciidae,Callicebus,discolor,Callicebus discolor,,,,,,,,,,,,,,,,,,,,,,,,
10,Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,897.67,,,,,,,,,,1.02,,,,,,,,,,1547;1605;1633;2151;2655,,,
11,Primates,Pitheciidae,Callicebus,dubius,Callicebus dubius,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
12,Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,1067.61,,,,,,,,,,1.02,,,,,,,,,,1547;1605;1633;2151;2655,,,
13,Primates,Pitheciidae,Callicebus,lucifer,Callicebus lucifer,,,,,,,,,,,,,,,,,,,,,,,,
14,Primates,Pitheciidae,Callicebus,lugens,Callicebus lugens,,,,,,,,,,,,,,,,,,,,,,,,
15,Primates,Pitheciidae,Callicebus,medemi,Callicebus medemi,,,,,,,,,,,,,,,,,,,,,,,,
16,Primates,Pitheciidae,Callicebus,melanochir,Callicebus melanochir,,,,,,,,,,,,,,,,,,,,,,,,
17,Primates,Pitheciidae,Callicebus,modestus,Callicebus modestus,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
18,Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,326.72,,231.0,,,215.11,344.0,,,,3.14,,60.0,,,251.71,,,,,256;498;730;889;890;905;955;1297;1412;1822;2151;2655,,,
19,Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys lanatus,350.33,,273.3,,,,,,,,,,60.0,,,,,,,,543;889;890;905;2151;2655,,,
20,Didelphimorphia,Didelphidae,Caluromys,philander,Caluromys philander,246.47,,224.27,75.0,334.58,,,,23.99,166.5,4.18,2.0,76.0,0.2,10.0,314.52,7.0,119.65,23.0,,133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655,2.09,1.906767123287671,1.9962823667185043
21,Didelphimorphia,Didelphidae,Caluromysiops,irrupta,Caluromysiops irrupta,257.48,,234.52,,,,,,,,2.0,,94.0,,,,,,,,543;730;889;905;1297;2151;2655,,,
22,Cingulata,Dasypodidae,Calyptophractus,retusus,Calyptophractus retusus,129.99,,157.5,,,,,,,,,,144.0,,,,,,,,543;890;899;2151;2655,,,
23,Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,554515.91,,,,1460.0,,,,397.99,730.0,1.39,1.0,480.0,34346.64,,1330.6,,368.13,,,511;543;600;719;899;1297;1848;2401;2655;2987,1.39,2.78,1.965756851698602
24,Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,791321.76,,2175.0,,,,,,,,,,,,,755.15,,,,,511;899;1525;1848;2655,,,
25,Artiodactyla,Bovidae,Bos,taurus,Bos taurus,618642.42,,,,,,,,280.48,,,1.0,240.0,,,755.15,,,,,543;1052;1577;1594;1758;1848;2655,,,
26,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,182253.04,,2000.0,,912.5,,,,248.49,400.5,1.39,,260.4,5875.0,,,,,,,543;730;1297;1525;1848;2655;2986,,1.5251917808219178,1.5251917808219178
27,Rodentia,Muridae,Brachiones,przewalskii,Brachiones przewalskii,,,,,,,,,,,,,,,,,,,,,,,,
28,Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,8247.3,,707.27,,,,,270.0,62.5,273.75,3.89,,168.0,177.2,,241.4,8.0,34.1,,,542;543;730;1113;1297;1573;2655,,2.9175000000000004,2.9175000000000004
29,Carnivora,Canidae,Canis,simensis,Canis simensis,14361.86,,938.19,,,,,180.0,63.61,365.0,,,,,,754.74,8.0,69.6,,,542;730;1113;1573;2655,,,
30,Rodentia,Spalacidae,Cannomys,badius,Cannomys badius,472.07,,,,,172.0,344.0,,41.49,,2.0,,48.0,,,,,50.1,,,543;1297;1822;2655,,,
31,Rodentia,Cricetidae,Cansumys,canus,Cansumys canus,,,,,,,,,,,,,,,,,,,,,,,,
32,Cetacea,Neobalaenidae,Caperea,marginata,Caperea marginata,31999999.98,,,,,,,,,,0.98,,,,,,,,,,1297;2655,,,
33,Artiodactyla,Bovidae,Capra,caucasica,Capra caucasica,58149.52,,,,,,,,155.0,,1.09,,264.0,,,1015.0,3.0,,,,543;1297;1525;1848;2555;2655,,,
34,Artiodactyla,Bovidae,Capra,falconeri,Capra falconeri,54303.37,,1590.0,,730.0,,,,167.98,,1.73,,168.0,,,1015.0,,167.29,,,511;543;899;1297;1525;1848;2555;2655,,,
35,Artiodactyla,Bovidae,Capra,hircus,Capra hircus,47386.47,,,,669.16,,,,156.0,365.0,1.45,,249.6,2136.11,375.56,498.97,3.0,158.04,,,453;543;730;1052;1297;1525;1573;1594;1598;1848;2555;2655;2986,,1.45,1.45
36,Artiodactyla,Bovidae,Capra,ibex,Capra ibex,69546.83,,,,912.5,,,,167.5,547.5,1.11,,267.6,2779.07,,838.54,3.0,111.75,15683.39,,511;543;1297;1525;1763;1848;2555;2655,,1.6650000000000003,1.6650000000000003
37,Erinaceomorpha,Erinaceidae,Atelerix,algirus,Atelerix algirus,903.98,,214.76,,,,,,39.25,,2.5,2.0,84.0,,,,,39.7,,,543;678;1456;2408;2655;2786,1.25,,1.25
38,Erinaceomorpha,Erinaceidae,Atelerix,frontalis,Atelerix frontalis,329.12,,181.82,10.0,,,,,37.13,,4.99,1.5,,10.55,52.6,411.43,6.0,34.8,,,678;1109;1297;1455;1456;2408;2629;2655;2786,3.3266666666666667,,3.326666666666666
39,Erinaceomorpha,Erinaceidae,Atelerix,sclateri,Atelerix sclateri,,,129.99,,,,,,,,,,,,,,,,,,678;1456,,,
40,Primates,Atelidae,Ateles,belzebuth,Ateles belzebuth,6692.42,,459.3,,,,,,138.2,,1.02,,336.0,,,,,,,,208;543;730;890;1297;1544;1547;1848;2151;2308;2344;2463;2655;2660;2912;2986,,,
41,Primates,Atelidae,Ateles,chamek,Ateles chamek,7053.92,,454.28,,,,,,,,,,,,,,,,,,1544;1547;1848;2145;2151;2251;2655;2912,,,
42,Primates,Atelidae,Ateles,fusciceps,Ateles fusciceps,9067.94,,489.15,,1773.9,,,,224.7,851.66,1.01,,288.0,499.99,,1799.68,,482.7,,,208;543;1297;1544;1547;1848;2151;2344;2489;2493;2655;2660;2986,,2.356648219178082,2.356648219178082
43,Primates,Atelidae,Ateles,geoffroyi,Ateles geoffroyi,7582.4,,433.07,,2080.5,,,,226.37,1048.15,1.01,,327.6,425.85,,2104.57,,816.35,3478.06,,208;730;1297;1544;1547;1763;1767;1848;2145;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986,,2.9003602739726033,2.900360273972603
44,Primates,Atelidae,Ateles,hybridus,Ateles hybridus,,,,,,,,,,,,,,,,,,,,,,,,
45,Primates,Atelidae,Ateles,marginatus,Ateles marginatus,6229.28,,460.27,,,,,,,,,,,,,,,,,,1544;1848;2151;2655,,,
46,Primates,Atelidae,Ateles,paniscus,Ateles paniscus,8697.25,,575.96,,1825.0,,,,228.18,1072.18,1.0,,453.6,478.64,,2104.57,,805.41,2753.17,,208;543;730;890;1201;1297;1544;1547;1763;1767;1768;1848;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986;3086,,2.9374794520547947,2.937479452054794
47,Primates,Pitheciidae,Callicebus,moloch,Callicebus moloch,958.13,,358.65,,1095.0,,,,164.0,365.0,1.01,,303.6,74.4,125.0,1262.74,,58.85,,,208;543;730;890;1297;1512;1547;1605;1768;1848;2151;2344;2464;2489;2493;2520;2655;2660;2986,,1.01,1.01
48,Primates,Pitheciidae,Callicebus,nigrifrons,Callicebus nigrifrons,,,,,,,,,,,,,,,,,,,,,,,,
49,Primates,Pitheciidae,Callicebus,oenanthe,Callicebus oenanthe,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
50,Primates,Pitheciidae,Callicebus,olallae,Callicebus olallae,992.4,,,,,,,,,,1.02,,,,,,,,,,1605;1633;2151;2655,,,
51,Primates,Pitheciidae,Callicebus,ornatus,Callicebus ornatus,,,,,,,,,,,,,,,,,,,,,,,,
52,Primates,Pitheciidae,Callicebus,pallescens,Callicebus pallescens,,,,,,,,,,,,,,,,,,,,,,,,
53,Primates,Pitheciidae,Callicebus,personatus,Callicebus personatus,1390.8,,362.49,,,,,,,,1.01,,,,,,,,,,890;899;1544;1547;1605;1848;2145;2151;2344;2464;2655;2660;2986,,,
54,Primates,Pitheciidae,Callicebus,purinus,Callicebus purinus,,,,,,,,,,,,,,,,,,,,,,,,
55,Primates,Pitheciidae,Callicebus,regulus,Callicebus regulus,,,,,,,,,,,,,,,,,,,,,,,,
56,Primates,Pitheciidae,Callicebus,stephennashi,Callicebus stephennashi,,,,,,,,,,,,,,,,,,,,,,,,
57,Primates,Pitheciidae,Callicebus,torquatus,Callicebus torquatus,1209.57,,294.99,,,,,,,,1.01,,,,,1683.65,,121.66,,,208;730;890;1297;1544;1547;1605;1848;2151;2251;2344;2464;2520;2655;2660;2986,,,
58,Primates,Cebidae,Callimico,goeldii,Callimico goeldii,558.0,,280.0,,491.83,,,,153.99,182.5,1.05,,214.8,50.5,,413.84,,66.53,120.02,,543;890;905;1125;1297;1320;1544;1547;1611;1767;1848;2151;2251;2344;2489;2493;2655;2660,,0.525,0.525
59,Rodentia,Echimyidae,Callistomys,pictus,Callistomys pictus,518.99,,,,,,,,,,,,,,,,,,,,2655,,,
60,Primates,Cebidae,Callithrix,acariensis,Callithrix acariensis,,,,,,,,,,,,,,,,,,,,,,,,
61,Primates,Cebidae,Callithrix,argentata,Callithrix argentata,382.92,,,,609.55,,,,,219.6,1.84,,201.6,35.8,,701.52,,,,,543;730;890;905;1297;1544;1547;1768;2151;2344;2493;2655;2725;2986,,1.1070246575342466,1.1070246575342466
62,Primates,Cebidae,Callithrix,aurita,Callithrix aurita,386.2,,239.99,,,,,,140.0,,2.0,,,,,,,,,,899;1544;1547;2151;2344;2655;2725,,,
63,Primates,Cebidae,Callithrix,chrysoleuca,Callithrix chrysoleuca,,,,,,,,,,,,,,,,,,,,,2344;2725,,,
64,Primates,Cebidae,Callithrix,emiliae,Callithrix emiliae,309.58,,,,,,,,,,,,,,,,,,,,1547;2986,,,
65,Primates,Cebidae,Callithrix,flaviceps,Callithrix flaviceps,372.97,,239.99,,,,,,140.0,,2.0,,,,,,,,,,899;1544;1547;2151;2344;2655;2725,,,
66,Primates,Cebidae,Callithrix,geoffroyi,Callithrix geoffroyi,342.0,,,,,,,,,,,,,,,,,,,,1547;2151;2344;2655;2725;2986,,,
67,Primates,Cebidae,Callithrix,humeralifera,Callithrix humeralifera,374.99,,,,,,,,,,,,180.0,34.5,,,,99.01,,,543;730;890;905;1125;1297;1544;1547;2151;2344;2520;2655;2660;2725;2986,,,
68,Primates,Cebidae,Callithrix,humilis,Callithrix humilis,,,,,,,,,,,,,,,,,,,,,,,,
69,Primates,Cebidae,Callithrix,intermedia,Callithrix intermedia,,,,,,,,,,,2.0,,,,,,,,,,1547;2520;2725,,,
70,Primates,Cebidae,Callithrix,jacchus,Callithrix jacchus,290.21,,,,555.1,152.0,190.0,,144.0,159.8,2.31,,201.6,27.74,,455.99,,60.24,96.82,,208;543;579;730;890;905;1297;1299;1544;1547;1577;1594;1611;1822;2151;2344;2489;2493;2511;2520;2552;2655;2660;2725;2986,,1.01133698630137,1.01133698630137
71,Primates,Cebidae,Callithrix,kuhlii,Callithrix kuhlii,374.99,,,,,,,,,,,,,,,,,,,,890;1547;2151;2344;2655;2725,,,
72,Primates,Cebidae,Callithrix,leucippe,Callithrix leucippe,,,,,,,,,,,,,,,,,,,,,2344;2725,,,
73,Primates,Cebidae,Callithrix,manicorensis,Callithrix manicorensis,,,,,,,,,,,,,,,,,,,,,,,,
74,Primates,Cebidae,Callithrix,marcai,Callithrix marcai,,,,,,,,,,,,,,,,,,,,,,,,
75,Primates,Cebidae,Callithrix,mauesi,Callithrix mauesi,443.79,,,,,,,,,,,,,,,,,,,,890;1547;2151,,,
76,Primates,Cebidae,Callithrix,melanura,Callithrix melanura,,,,,,,,,,,,,,,,,,,,,,,,
77,Primates,Cebidae,Callithrix,nigriceps,Callithrix nigriceps,401.12,,,,,,,,,,2.0,,,,,,,,,,890;1547;2151;2344;2725,,,
78,Primates,Cebidae,Callithrix,penicillata,Callithrix penicillata,339.98,,,,,,,,,,2.0,,,,,,,,,,1544;1547;2151;2344;2520;2655;2725;2986,,,
79,Primates,Cebidae,Callithrix,pygmaea,Callithrix pygmaea,123.94,,154.6,,840.41,113.99,116.9,,134.44,182.5,1.93,,181.2,14.5,,708.5,,90.73,70.0,,208;543;730;890;905;1125;1297;1544;1547;1611;1822;1848;2151;2251;2344;2489;2493;2511;2520;2655;2660;2668;2864;2986,,0.965,0.965
80,Primates,Cebidae,Callithrix,saterei,Callithrix saterei,,,,,,,,,,,,,,,,,,,,,2344;2725,,,
81,Carnivora,Otariidae,Callorhinus,ursinus,Callorhinus ursinus,55464.82,,1734.82,,,,,120.0,358.49,365.0,1.04,0.5,420.0,5354.8,,1683.65,,108.69,11231.06,,367;543;1015;1297;1577;1763;2151;2620;2655;2986,2.08,1.04,1.470782104868019
82,Rodentia,Sciuridae,Callosciurus,adamsi,Callosciurus adamsi,208.72,,203.5,,,,,,,,1.94,,,,,,5.0,,,,1297;2152;2655,,,
83,Rodentia,Sciuridae,Callosciurus,albescens,Callosciurus albescens,,,,,,,,,,,,,,,,,,,,,,,,
84,Rodentia,Sciuridae,Callosciurus,baluensis,Callosciurus baluensis,323.91,,203.5,,,,,,,,3.0,,,,,,5.0,,,,2152,,,
85,Rodentia,Sciuridae,Callosciurus,caniceps,Callosciurus caniceps,264.91,,211.08,,,,,,,,2.19,,114.0,,,,,,,,32;730;1297;1971;2530;2655;2844,,,
86,Rodentia,Sciuridae,Callosciurus,erythraeus,Callosciurus erythraeus,283.23,,211.93,,,,,,,,1.94,2.0,193.2,,,,,,,,32;543;1297;1573;1971;2584;2655;2799;2844,0.97,,0.97
87,Rodentia,Sciuridae,Callosciurus,finlaysonii,Callosciurus finlaysonii,,,,,,,,,,,,,,,,,,,,,32,,,
88,Rodentia,Sciuridae,Callosciurus,inornatus,Callosciurus inornatus,,,,,,,,,,,,,,,,,,,,,,,,
89,Rodentia,Sciuridae,Callosciurus,melanogaster,Callosciurus melanogaster,296.0,,213.0,,,,,,,,,,,,,,,,,,679;3013,,,
90,Rodentia,Sciuridae,Callosciurus,nigrovittatus,Callosciurus nigrovittatus,208.3,,203.5,,,,,,,,2.36,,,,,,5.0,,,,730;1297;1971;2152;2530;2655;2844,,,
91,Rodentia,Sciuridae,Callosciurus,notatus,Callosciurus notatus,209.49,,203.5,,,,,,,,2.62,,115.2,,,413.84,5.0,,,,32;543;730;1297;1971;2152;2530;2655;2844,,,
92,Rodentia,Sciuridae,Callosciurus,orestes,Callosciurus orestes,323.91,,203.5,,,,,,,,3.0,,,,,,5.0,,,,2152,,,
93,Rodentia,Sciuridae,Callosciurus,phayrei,Callosciurus phayrei,,,,,,,,,,,,,,,,,,,,,,,,
94,Rodentia,Sciuridae,Callosciurus,prevostii,Callosciurus prevostii,400.0,,247.0,,,,,,46.08,,1.29,,68.0,16.34,,,5.0,,,,32;1297;1849;2152;2655;2844,,,
95,Rodentia,Sciuridae,Callosciurus,pygerythrus,Callosciurus pygerythrus,,,,,,,,,,,,,,,,,,,,,32,,,
96,Rodentia,Sciuridae,Callosciurus,quinquestriatus,Callosciurus quinquestriatus,,,,,,,,,,,,,,,,,,,,,,,,
97,Rodentia,Cricetidae,Calomys,boliviae,Calomys boliviae,27.0,,,,,,,,,,,,,,,,,,,,2655,,,
98,Rodentia,Cricetidae,Calomys,callidus,Calomys callidus,27.0,,,,,,,,,,,,,,,13.57,,,,,1297;2655,,,
99,Rodentia,Cricetidae,Calomys,callosus,Calomys callosus,44.95,,,,42.0,55.82,48.0,,21.8,21.0,4.91,3.0,,2.4,,43.18,,18.33,12.05,,730;786;890;1297;1822;2655,1.6366666666666667,0.2824931506849315,0.6799611189528937
100,Rodentia,Cricetidae,Calomys,expulsus,Calomys expulsus,39.86,,,,,,,,,,,,,,,,,,,,730,,,
101,Rodentia,Cricetidae,Calomys,hummelincki,Calomys hummelincki,27.0,,,,,,,,,,,,,,,,,,,,2151;2655,,,
102,Rodentia,Cricetidae,Calomys,laucha,Calomys laucha,14.0,,,,,,,,25.0,,5.3,,,,,,,,,,890;896;1297;2034;2655,,,
103,Rodentia,Cricetidae,Calomys,lepidus,Calomys lepidus,20.59,,,,,28.8,16.0,,,20.75,4.29,,,2.0,,,,,,,890;1297;1822;2655,,0.24388356164383565,0.24388356164383568
104,Rodentia,Cricetidae,Calomys,musculinus,Calomys musculinus,20.2,,,,,27.59,16.9,,20.97,,6.27,,,,,76.03,,,,,730;890;896;1297;1822;2033;2034;2655,,,
105,Rodentia,Cricetidae,Calomys,sorellus,Calomys sorellus,20.0,,,,,,,,,,,,,,,,,,,,2655,,,
106,Rodentia,Cricetidae,Calomys,tener,Calomys tener,13.8,,69.2,,,,,,,,,,,,,,,,,,1843;2655,,,
107,Rodentia,Cricetidae,Calomys,tocantinsi,Calomys tocantinsi,,,,,,,,,,,,,,,,,,,,,,,,
108,Rodentia,Cricetidae,Calomys,venustus,Calomys venustus,49.33,,,,,70.78,49.5,,,,,,,,,,,,,,1822,,,
109,Rodentia,Calomyscidae,Calomyscus,bailwardi,Calomyscus bailwardi,21.38,,,,,,,,,,4.0,1.0,,,,,,,,,730;1297;2655,4.0,,4.0
110,Rodentia,Calomyscidae,Calomyscus,baluchi,Calomyscus baluchi,,,,,,,,,,,,,,,,,,,,,,,,
111,Rodentia,Calomyscidae,Calomyscus,elburzensis,Calomyscus elburzensis,,,,,,,,,,,,,,,,,,,,,,,,
112,Rodentia,Calomyscidae,Calomyscus,grandis,Calomyscus grandis,,,,,,,,,,,,,,,,,,,,,,,,
113,Rodentia,Calomyscidae,Calomyscus,hotsoni,Calomyscus hotsoni,,,,,,,,,,,,,,,,,,,,,,,,
114,Rodentia,Calomyscidae,Calomyscus,mystax,Calomyscus mystax,,,,,,,,,,,4.99,2.0,,,,,,,,,1297,2.495,,2.495
115,Rodentia,Calomyscidae,Calomyscus,tsolovi,Calomyscus tsolovi,,,,,,,,,,,,,,,,,,,,,,,,
116,Rodentia,Calomyscidae,Calomyscus,urartensis,Calomyscus urartensis,,,,,,,,,,,,,,,,,,,,,,,,
117,Diprotodontia,Potoroidae,Caloprymnus,campestris,Caloprymnus campestris,927.57,,,,,,,,,,1.0,,156.0,,,,,,,,543;955;1297;1760;2655,,,
118,Carnivora,Canidae,Atelocynus,microtis,Atelocynus microtis,8363.22,,831.01,,,,,,,,,,132.0,,,,,,,,543;890;1113;2655,,,
119,Rodentia,Hystricidae,Atherurus,africanus,Atherurus africanus,2875.65,,430.99,,,,,,108.18,,1.5,2.75,274.8,146.27,180.0,,,45.37,,,543;903;904;1297;1573;2151;2359;2655,0.5454545454545454,,0.5454545454545454
120,Rodentia,Hystricidae,Atherurus,macrourus,Atherurus macrourus,2000.0,,,,,,,,,,1.5,,,,,,,,,,1297;2151;2655,,,
121,Carnivora,Herpestidae,Atilax,paludinosus,Atilax paludinosus,3600.16,,499.01,11.5,,,,,77.27,182.5,2.0,2.0,209.0,100.0,,234.83,4.0,35.89,549.99,,543;1113;1297;1573;2655,1.0,1.0,1.0
122,Rodentia,Sciuridae,Atlantoxerus,getulus,Atlantoxerus getulus,250.57,,189.1,,,,,,,,,,108.0,,,,,,,,543;2495;2655,,,
123,Rodentia,Cricetidae,Auliscomys,boliviensis,Auliscomys boliviensis,70.91,,,,,110.59,76.8,,,,3.4,,,,,,,,,,424;890;1297;1822;2655,,,
124,Rodentia,Cricetidae,Auliscomys,pictus,Auliscomys pictus,48.97,,,,,,,,,,,,,,,,,,,,730;2655,,,
125,Rodentia,Cricetidae,Auliscomys,sublimis,Auliscomys sublimis,38.0,,,,,,,,,,,,,,,,,,,,890;2655,,,
126,Primates,Indriidae,Avahi,laniger,Avahi laniger,1092.28,,275.0,,941.7,,,,136.15,365.0,1.01,1.0,,,89.99,,2.0,149.15,,,208;511;730;1046;1048;1261;1262;1297;1544;1547;1848;2151;2344;2488;2493;2655;2973;2986,1.01,1.01,1.01
127,Primates,Indriidae,Avahi,occidentalis,Avahi occidentalis,828.98,,,,,,,,,,1.02,,,,,,,,,,511;1048;1261;1262;1544;1547;2344;2655;2972;2973,,,
128,Primates,Indriidae,Avahi,unicolor,Avahi unicolor,,,,,,,,,,,,,,,,,,,,,,,,
129,Artiodactyla,Cervidae,Axis,axis,Axis axis,69499.99,,,,,,,,227.49,425.83,1.01,,249.6,3156.86,,543.68,,121.66,,,543;653;730;789;1297;1573;2044;2525;2655;2986;3010,,1.178324109589041,1.178324109589041
130,Artiodactyla,Cervidae,Axis,calamianensis,Axis calamianensis,39812.6,,1387.44,,,,,,224.0,,2.0,,,,,,,,,,899;2152;2655;3010,,,
131,Artiodactyla,Cervidae,Axis,kuhlii,Axis kuhlii,54999.99,,1375.0,,,,,,227.49,,1.22,1.3,,,,,,,,,132;899;2525;2655;3010,0.9384615384615385,,0.9384615384615385
132,Artiodactyla,Cervidae,Axis,porcinus,Axis porcinus,37448.29,,,,,,,,220.13,,1.0,,240.0,2483.33,,464.04,,,,,543;653;730;789;1297;2655;2986;3010,,,
133,Artiodactyla,Suidae,Babyrousa,babyrussa,Babyrousa babyrussa,92950.09,,950.0,,,,,,156.5,,1.73,1.5,288.0,715.0,,362.5,4.0,212.91,,,511;543;645;899;1297;1848;2180;2228;2655,1.1533333333333333,,1.1533333333333333
134,Artiodactyla,Suidae,Babyrousa,bolabatuensis,Babyrousa bolabatuensis,,,,,,,,,,,,,,,,,,,,,,,,
135,Artiodactyla,Suidae,Babyrousa,celebensis,Babyrousa celebensis,,,,,,,,,,,,,,,,,,,,,,,,
136,Cetacea,Balaenopteridae,Balaenoptera,musculus,Balaenoptera musculus,154321304.5,,30480.0,,,,,,326.97,821.25,1.0,0.45,1320.0,2738612.79,7236.55,1959.8,,211.71,16999999.97,,172;511;543;899;1004;1015;1217;1297;2151;2409;2655,2.2222222222222223,2.25,2.23606797749979
137,Cetacea,Balaenopteridae,Balaenoptera,physalus,Balaenoptera physalus,47506008.23,,20641.06,,,,,,338.36,730.0,1.01,0.37,1392.0,1899999.99,6273.75,2666.41,,196.58,,12000.0,24;27;543;899;1004;1015;1217;1297;1577;2151;2655,2.72972972972973,2.02,2.3482023026251495
138,Chiroptera,Emballonuridae,Balantiopteryx,infusca,Balantiopteryx infusca,,38.99,,,,,,,,,,,,,,,,,,,889;1658;2151,,,
139,Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,3.97,37.0,40.2,,,,,,,,1.0,,,0.59,25.02,,,,,,125;889;1297;1609;1658;2151;2655,,,
140,Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,6.57,42.23,,,365.0,,,,138.81,,0.99,1.0,,2.0,,,,58.59,,,126;426;429;889;1297;1658;1705;1814;2143;2151;2537;2655,0.99,,0.99
141,Chiroptera,Pteropodidae,Balionycteris,maculata,Balionycteris maculata,14.43,40.96,,,,,,,,,1.0,,,,,,,,,,196;360;1343;1658;2017;2143;2151;2655;2719,,,
142,Rodentia,Muridae,Bandicota,bengalensis,Bandicota bengalensis,226.99,,,,91.25,,,,18.89,61.9,7.29,5.9,,4.85,47.0,63.52,,30.03,22.9,,456;1297;2655,1.235593220338983,1.236304109589041,1.2359486138531173
143,Rodentia,Muridae,Bandicota,indica,Bandicota indica,583.09,,,,272.5,,,,20.26,71.25,6.12,,,9.77,,145.81,,27.3,41.0,,456;1297;2655,,1.1946575342465753,1.1946575342465753
144,Artiodactyla,Bovidae,Cephalophus,niger,Cephalophus niger,19094.32,,1041.8,,,,,,126.0,,1.0,,122.04,1940.0,,,4.0,89.49,,,869;1297;1525;1848;2655;2693;3046,,,
145,Artiodactyla,Bovidae,Cephalophus,nigrifrons,Cephalophus nigrifrons,14676.33,,944.21,,,,,,,,,,236.4,,,,4.0,,,,543;869;904;1525;1848;2655;2693;3046,,,
146,Artiodactyla,Bovidae,Cephalophus,ogilbyi,Cephalophus ogilbyi,18386.42,,1000.0,,,,,,121.66,,1.0,,,,,,4.0,,,,1297;1525;1848;2655;2693;3046,,,
147,Artiodactyla,Bovidae,Cephalophus,rufilatus,Cephalophus rufilatus,12114.57,,650.0,,794.63,,,,233.99,,1.0,,114.0,975.1,,,4.0,85.59,,,730;869;1297;1525;1848;2655;2693;3046,,,
148,Artiodactyla,Bovidae,Cephalophus,silvicultor,Cephalophus silvicultor,62006.6,,1324.76,,,,,,234.43,306.0,1.0,,207.96,4400.72,,,4.0,34.9,,,511;869;904;1297;1525;1833;1848;2655;2693;3046,,0.8383561643835616,0.8383561643835616
