Specie,quantile,Weight males (kg),Weight females (kg),Birth weight males (kg),Birth weight females (kg),Age maturity males (months),Age maturity females (months),Age breeding males (months),Age breeding females (months),Age first parturition (month) AVG (months),Age first parturition (month) MIN (months),Age first parturition (month) MAX (months),Parturition interval (day) AVG (d),Parturition interval (day) MIN (d),Parturition interval (day) MAX (d),Length productive life (years) (year),Daily gain (g),Carcass weight (kg) (kg),Dressing percentage (%) (%),Litter size AVG (number),Litter size MIN (number),Litter size MAX (number),Young per year AVG (number),Adult weight AVG (kg)
Goat,0.05,22.105,20.0,1.4,1.17,5.0,5.0,6.55,7.0,10.0,9.350000000000001,10.525,150.0,140.0,155.0,5.0,33.8,5.0,41.9,1.0,1.0,1.36,1.1010535714285714,21.544999999999998
Goat,0.25,36.0,28.9,2.1,1.82,7.0,7.0,11.75,10.0,14.0,12.0,18.0,250.0,210.0,273.0,7.0,80.0,10.96,45.0,1.2,1.0,2.0,1.519302293064877,32.0
Goat,0.5,50.935,40.0,2.6,2.38,8.0,10.0,16.25,15.0,16.35,16.0,20.5,310.5,240.0,339.0,7.0,100.0,17.0,48.0,1.5,1.0,2.5,1.8250000000000002,45.0
Goat,0.75,70.0,50.0,3.0,2.8,12.0,12.0,24.0,21.25,23.75,20.0,30.0,365.0,274.0,372.5,8.0,160.0,24.0,52.0,1.8,1.1,3.0,2.3343584656084655,60.0
Goat,0.95,90.0,68.0,3.9720000000000004,3.5,18.0,15.399999999999991,40.050000000000026,53.49999999999994,30.30000000000001,24.0,58.0,400.0,344.0,452.79999999999984,9.0,241.19999999999987,38.0,57.19999999999999,2.06,1.8,4.0,2.965339665415885,76.19999999999993
Goat,0.995,130.0,95.0,4.89609999999999,4.669600000000014,28.999999999999986,18.680000000000007,72.99500000000002,72.0,38.83499999999998,27.82499999999999,111.72499999999985,455.28,363.5,520.0,10.960000000000008,320.3999999999999,68.33999999999999,66.638,2.76400000000001,2.3549999999999898,6.340000000000003,3.3530725000000006,110.0
Horse,0.005,119.375,95.05,8.92,8.92,7.695,7.73,25.59,31.5,35.235,21.585,31.05,332.46,313.78,360.0,10.64,18.424999999999997,80.52,35.0,1.0,1.0,1.0,0.6552962298025135,107.925
Horse,0.05,201.125,189.2,16.8,15.0,13.7,14.9,36.0,36.0,36.35,24.0,36.0,342.15,332.6,371.0,12.4,139.25000000000003,85.2,35.0,1.0,1.0,1.0,0.6552962298025135,197.48749999999998
Horse,0.25,366.25,350.0,33.0,32.0,19.25,19.0,36.0,36.0,46.0,39.0,48.0,365.0,360.0,480.0,16.0,676.25,161.25,45.0,1.0,1.0,1.0,0.8004385964912281,357.25
Horse,0.5,475.5,450.0,42.0,40.0,24.0,36.0,102.0,120.0,47.0,41.0,53.0,438.0,365.0,547.0,19.0,900.0,181.25,47.06,1.0,1.0,1.0,0.8004385964912281,457.5
Horse,0.75,594.5,550.0,50.0,48.0,30.0,36.0,240.0,216.0,49.0,44.25,53.0,456.0,365.0,547.0,20.0,975.0,224.35,56.95,1.0,1.0,2.0,0.8690476190476191,571.25
Horse,0.95,850.0,715.0000000000006,60.0,65.0,36.0,38.099999999999994,240.0,216.0,60.0,48.0,63.0,557.0,409.19999999999976,657.3999999999999,24.39999999999999,1155.0,496.2499999999999,58.1,1.0,1.0,2.0,1.0159544159544158,800.0
Horse,0.995,1000.0,903.2999999999998,95.40000000000006,90.0,49.37999999999994,51.66,240.0,216.0,60.0,57.66,91.80000000000007,679.5000000000002,474.6,730.0,29.68,1195.5,657.1250000000001,58.46,1.0,1.0,2.0,1.0628729944519417,939.575
Pig,0.005,22.4,27.015,0.2956,0.25635,2.02,2.01,4.33,5.0,8.0,4.945,6.22,96.885,72.25,116.2,1.272,0.626,30.42,42.79,4.2349,1.0,5.505,8.768603382550799,28.406
Pig,0.05,45.0,45.0,0.4,0.381,5.0,5.0,5.300000000000001,6.0,10.0,8.0,10.025,120.05,110.45,132.4,1.5,134.24,35.0,47.7,6.0,1.0,6.0,11.852011494252872,45.2
Pig,0.25,98.9,85.0,0.74,0.7,6.0,6.0,7.75,8.0,12.0,9.0,12.895,150.0,120.0,210.0,3.0,320.0,70.0,66.80000000000001,8.4975,4.0,10.0,17.033333333333335,91.0
Pig,0.5,170.0,150.0,1.0,0.965,7.0,7.0,10.0,8.955,12.0,10.0,14.0,168.0,160.0,250.0,4.5,550.0,86.0,71.3,10.0,6.0,12.0,20.93278285556017,160.0
Pig,0.75,299.0,240.0,1.3,1.2,8.0,8.0,18.0,27.25,13.0,11.0,15.0,191.75,172.0,300.0,6.0,678.0,94.0,75.15,11.0,9.0,14.0,26.522405950331937,270.0
Pig,0.95,350.0,300.0,1.6,1.5,9.0,9.949999999999989,48.0,60.0,16.329999999999977,13.0,23.89999999999999,249.50000000000003,229.19999999999993,604.1999999999994,7.3999999999999915,857.7999999999998,151.99999999999994,80.0,13.343999999999996,10.62,19.899999999999977,38.71119826435247,315.0
Pig,0.995,430.0,325.0,3.219999999999999,2.5974999999999966,12.449999999999974,14.970000000000027,48.0,60.0,34.41,17.795000000000016,28.17,392.4749999999999,322.6500000000001,893.5999999999999,11.0,1047.6519999999996,210.59999999999988,81.18900000000001,16.226,13.525099999999986,24.980000000000018,40.86696428571428,360.0
Rabbit,0.005,1.25,1.25,0.05,0.05,3.848,3.8089999999999997,5.0,4.02,5.005,4.0,6.0,39.11,60.0,70.0,2.0,4.445,0.87385,48.22,5.4092,4.11,5.5721,62.44073717948718,1.25
Rabbit,0.05,2.1500000000000004,2.0,0.05,0.05,4.28,3.8899999999999997,5.0,4.2,5.05,4.0,6.0,40.1,60.0,70.0,2.0,12.950000000000001,0.9085,50.094,5.4830000000000005,5.1,5.6045,62.58814102564102,2.0
Rabbit,0.25,2.95,2.775,0.05,0.05,5.0,4.5,5.0,5.0,5.25,4.0,6.0,44.5,60.0,70.0,3.0,25.61,1.44,57.35,5.9675,6.0,6.887499999999999,63.24326923076923,2.875
Rabbit,0.5,3.8,3.5,0.053,0.053,6.0,5.25,5.5,6.0,5.5,4.0,6.0,50.0,60.0,70.0,3.0,28.0,1863.0,58.7,6.7,6.26,8.0,64.06217948717949,3.75
Rabbit,0.75,4.5,4.3,0.06,0.05875,6.0,6.75,6.5,8.0,5.75,4.0,6.0,57.5,60.0,70.0,4.0,30.735,2297.75,60.42,7.25,7.0,9.0,64.88108974358974,4.3625
Rabbit,0.95,6.189999999999999,6.0,0.06,0.061649999999999996,9.599999999999998,9.099999999999998,7.699999999999999,8.0,5.95,4.0,6.0,63.5,60.0,70.0,6.499999999999995,39.27,2782.95,62.446,8.849999999999998,8.0,11.899999999999999,65.53621794871795,6.222499999999999
Rabbit,0.995,8.639999999999986,7.575000000000003,0.06,0.062865,11.76,9.91,7.97,8.0,5.995,4.0,6.0,64.85,60.0,70.0,9.649999999999999,40.845,2837.895,63.5769,9.0,8.0,12.0,65.6836217948718,7.862500000000026
Sheep,0.005,22.808,17.59075,1.5,1.2,4.22,4.16,6.0,5.9,7.0,7.75,12.0,143.19,85.975,148.275,3.0,33.7,5.5222999999999995,37.674,1.0,0.90925,1.05,0.8983333333333333,19.8936
Sheep,0.05,31.01,25.0,2.0,1.65,6.0,6.0,6.050000000000001,6.0,11.175,10.0,14.850000000000001,150.0,144.0,155.0,4.0,82.0,7.5,42.0,1.0,1.0,1.1,1.04,28.204
Sheep,0.25,50.0,40.0,2.8425,2.5300000000000002,7.0,8.0,12.0,12.0,14.0,12.0,18.0,240.0,145.0,155.0,6.0,141.0,13.45,45.675,1.1,1.0,1.4925,1.3,45.0
Sheep,0.5,72.0,51.0,3.5,3.2,10.0,10.0,18.0,18.0,18.0,15.0,21.5,304.0,219.5,306.0,7.0,200.0,19.05,48.6,1.27,1.0,2.0,1.7134722222222223,62.5
Sheep,0.75,95.0,66.25,4.1,3.7699999999999996,12.0,12.0,36.0,48.0,20.0,18.0,24.0,365.0,292.5,380.0,8.0,255.0,23.025,52.0,1.5,1.05,3.0,2.5063333333333335,80.0
Sheep,0.95,120.0,82.52049999999998,5.0,4.6,18.0,18.0,48.0,60.0,24.0,23.5,29.0,365.0,335.0,415.0,9.0,350.0,40.0,59.65999999999999,2.0,1.4,4.0,3.0720833333333335,100.0
Sheep,0.995,140.0,100.62830000000014,46.0,44.0,25.560000000000002,18.840000000000003,60.0,75.0,29.529999999999973,27.0,36.0,369.525,365.0,545.75,12.0,560.0000000000023,50.0,65.4075,3.0832000000000015,2.2074999999999987,6.0,5.708743842364532,115.0
